Coordinates of SECOND best detected filamentary structures. Maps are square (for example sizes are 6.0844 by 6.0844)

lon(deg)   lat(deg)  size(deg)
 143.292    38.4172  4.1604
 144.937    25.3841  4.1615
 144.937    28.4889  4.1613
 145.904   -13.7228  4.1619
 146.744   -36.0458  4.1606
 146.914   -18.3782  4.1618
 147.225    12.5327  4.1619
 148.046   -24.2939  4.1615
 148.046   -30.5037  4.1611
 148.046    -5.6647  4.1621
 148.046    31.5938  4.161
 148.935    38.4933  4.1603
  15.3301   11.7387  4.4941
 150.145   -40.492   4.1601
 151.156   -14.9793  4.1619
 151.778    16.7229  4.1618
 151.831   -18.8733  4.1618
 152.803   -22.2049  4.4937
 153.256   -30.4874  4.493
 153.832   -44.7985  4.4908
 154.069   -44.8778  4.1594
 155.784    28.8554  4.1612
 156.27     37.1294  4.4922
 156.46     37.1802  4.1605
 156.581    52.4892  4.1574
 157.375    34.6987  4.1608
 157.375    40.9084  4.16
 157.375    53.3279  4.1571
 157.649     2.0844  4.1621
 157.724   -10.0606  5.2241
  16.0759   15.5309  4.8424
  16.2865  -21.1104  4.4937
  16.8367   29.2932  4.4931
 161.04     -5.5069  4.8427
 163.889     4.8862  4.8427
 166.689   -26.3037  4.1614
 167.105   -38.2471  4.1604
 167.825   -12.6528  4.1619
  17.4497  -27.3988  4.1613
  17.4497  -36.7134  4.1606
  17.4497   -5.6647  4.1621
  17.4497   19.1743  4.1618
 170.471    -9.3197  4.4941
 170.725   -13.6809  4.494
 170.995    16.3896  4.1618
 171.657     1.1262  4.1621
 172.922   -27.3988  4.1613
 172.922   -39.8183  4.1602
 174.592    -9.9021  5.2241
 176.597   -38.8111  4.1603
 177.342   -31.3464  4.1611
  18.4055   12.2122  4.4941
  19.0992  -44.8131  4.4908
  19.4332   12.2284  4.4941
  20.265   -23.8025  5.6373
  23.6686  -11.8744  4.162
  23.6686   25.3841  4.1615
  23.6686   28.4889  4.1613
  26.778   -30.5037  4.1611
  26.778    28.4889  4.1613
  26.778    34.6987  4.1608
  26.778    53.3279  4.1571
  27.2641   23.5558  4.4936
  27.7256   54.1673  4.4876
  27.8933  -13.8939  4.494
  28.2299   29.5341  4.4931
  29.8875  -42.9232  4.1597
  30.9655   23.016   4.4936
  32.9969  -39.8183  4.1602
  33.7551  -16.5736  4.8424
  36.1063  -11.8744  4.162
  36.1063   22.2792  4.1616
  36.1063   25.3841  4.1615
  36.1063   44.0133  4.1595
  36.6188   36.8363  4.4923
  38.2879  -15.2378  4.494
  39.7137  -34.7996  4.8407
  40.1561  -35.0845  5.2216
  42.3252   40.9084  4.16
  43.2942   -8.2556  4.4942
  45.1436    4.6592  5.6385
  45.4347   -8.7696  4.162
  45.4347   44.0133  4.1595
  45.6437  -32.9131  4.4928
  46.17    -11.4252  5.6383
  47.526   -18.0218  4.4939
  47.8581    8.8579  4.4941
  48.5441   44.0133  4.1595
   5.4652   26.603   4.4934
   5.686    18.5358  4.8423
  50.3525   34.2713  4.4926
  50.5748  -26.8667  4.4933
  54.296   -22.0066  4.4937
  55.1625  -35.5657  4.4925
  56.9322  -44.0986  4.491
  57.8724  -39.8183  4.1602
  57.8724   19.1743  4.1618
   6.3794   30.7806  4.493
  60.2501  -24.1233  4.4935
  60.9819  -11.8744  4.162
  60.9819  -33.6086  4.1609
  60.9819  -42.9232  4.1597
  64.0913  -36.7134  4.1606
  64.0913  -52.2378  4.1575
  65.5319  -36.8841  4.4923
  65.53    -21.3103  4.4937
  67.2008  -30.5037  4.1611
  67.2008  -58.4476  4.1548
   7.7629   15.814   4.494
   7.7729   29.0951  4.4932
   9.2756   25.8557  4.4934
---------  --------  ------
